epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.6929,1.70161,6.55686,1.43184,0.4219,0.36529,0.34314,0.17377,1.60278,4.52149,1.32164,0.070229,0.00330789,0.00330789
2,48.6787,1.66289,4.41948,1.38124,0.51407,0.48405,0.46602,0.2458,1.61572,3.6115,1.311,0.0402069,0.00661911,0.00661911
3,72.2626,1.62219,3.78297,1.34126,0.50113,0.4272,0.41373,0.21899,1.7217,3.95904,1.39938,0.0101626,0.00990812,0.00990812
4,96.3672,1.64302,3.70348,1.36386,0.45301,0.42108,0.4078,0.21287,1.71116,3.86667,1.3884,0.0099001,0.0099001,0.0099001
5,119.845,1.61762,3.4367,1.34104,0.65515,0.49485,0.55098,0.29051,1.69966,3.40445,1.38968,0.0098668,0.0098668,0.0098668
6,143.397,1.5905,3.20845,1.31278,0.68383,0.50124,0.55148,0.28904,1.70616,3.32386,1.37048,0.0098335,0.0098335,0.0098335
7,167.264,1.55819,3.06374,1.29913,0.69592,0.56925,0.63345,0.33194,1.71912,2.99216,1.35797,0.0098002,0.0098002,0.0098002
8,190.824,1.57192,2.93219,1.30459,0.69436,0.58968,0.62852,0.35206,1.64026,2.91419,1.35079,0.0097669,0.0097669,0.0097669
9,214.497,1.53305,2.82119,1.28115,0.67815,0.59224,0.62196,0.32805,1.71617,2.91298,1.36836,0.0097336,0.0097336,0.0097336
10,238.009,1.4833,2.66576,1.25578,0.57654,0.41874,0.43929,0.23811,1.75589,3.54131,1.43085,0.0097003,0.0097003,0.0097003
11,261.575,1.49063,2.63556,1.24993,0.66912,0.58662,0.6315,0.33677,1.6898,2.98386,1.33857,0.009667,0.009667,0.009667
12,285.392,1.48839,2.58718,1.24969,0.71963,0.59719,0.64288,0.34793,1.67318,2.7346,1.32297,0.0096337,0.0096337,0.0096337
13,308.916,1.46261,2.50142,1.2376,0.72771,0.65753,0.67611,0.37405,1.60729,2.6888,1.30461,0.0096004,0.0096004,0.0096004
14,332.698,1.46021,2.46483,1.23955,0.68762,0.57156,0.62656,0.34679,1.6533,2.73782,1.3051,0.0095671,0.0095671,0.0095671
15,356.245,1.42931,2.37363,1.21383,0.74918,0.6211,0.69932,0.37706,1.6447,2.48313,1.30058,0.0095338,0.0095338,0.0095338
16,380.002,1.4452,2.3697,1.21954,0.71375,0.65824,0.68401,0.37672,1.63354,2.52489,1.31762,0.0095005,0.0095005,0.0095005
17,404.179,1.40918,2.28382,1.20255,0.78931,0.62475,0.7075,0.38854,1.6696,2.44408,1.32519,0.0094672,0.0094672,0.0094672
18,427.822,1.4089,2.25451,1.20462,0.76385,0.57623,0.67194,0.36753,1.62076,2.47699,1.28703,0.0094339,0.0094339,0.0094339
19,451.348,1.41013,2.24309,1.2029,0.76878,0.59699,0.67737,0.37689,1.65496,2.53945,1.31478,0.0094006,0.0094006,0.0094006
20,474.931,1.38865,2.2137,1.19507,0.73963,0.65604,0.68026,0.35809,1.70226,2.53039,1.34515,0.0093673,0.0093673,0.0093673
21,498.501,1.39493,2.19619,1.19739,0.77002,0.60342,0.69097,0.38256,1.67391,2.44956,1.31961,0.009334,0.009334,0.009334
22,522.327,1.36511,2.13983,1.1845,0.70732,0.64794,0.69587,0.38452,1.65083,2.44224,1.30551,0.0093007,0.0093007,0.0093007
23,545.901,1.38877,2.13966,1.19181,0.75943,0.61877,0.6806,0.36298,1.68535,2.54354,1.3252,0.0092674,0.0092674,0.0092674
24,569.47,1.35391,2.09484,1.17909,0.77346,0.58769,0.67723,0.37571,1.6565,2.60732,1.30649,0.0092341,0.0092341,0.0092341
25,593.225,1.34868,2.06887,1.17399,0.76823,0.6624,0.71784,0.40536,1.62909,2.2858,1.29219,0.0092008,0.0092008,0.0092008
26,616.88,1.33093,2.00749,1.16447,0.71097,0.65199,0.692,0.38441,1.61301,2.39982,1.29175,0.0091675,0.0091675,0.0091675
27,640.452,1.33669,2.02887,1.16665,0.78669,0.6163,0.70787,0.39761,1.64012,2.34064,1.30528,0.0091342,0.0091342,0.0091342
28,664.061,1.33,2.00788,1.16778,0.7441,0.67306,0.72354,0.40765,1.60994,2.28315,1.29202,0.0091009,0.0091009,0.0091009
29,687.738,1.31029,1.95431,1.15774,0.70227,0.6501,0.68776,0.37979,1.62901,2.47226,1.29431,0.0090676,0.0090676,0.0090676
30,711.567,1.32433,1.94745,1.15329,0.78753,0.63102,0.69119,0.3799,1.65588,2.37918,1.32403,0.0090343,0.0090343,0.0090343
31,735.125,1.30303,1.92392,1.15254,0.72118,0.63627,0.70253,0.37954,1.66538,2.35849,1.31959,0.009001,0.009001,0.009001
32,758.741,1.31581,1.92773,1.15478,0.74586,0.64308,0.68966,0.3857,1.6568,2.42251,1.31389,0.0089677,0.0089677,0.0089677
33,782.395,1.29501,1.88889,1.14327,0.76434,0.64559,0.70937,0.39534,1.64521,2.34989,1.30542,0.0089344,0.0089344,0.0089344
34,806.063,1.31885,1.92333,1.1591,0.73623,0.63318,0.67929,0.37299,1.69236,2.34936,1.34029,0.0089011,0.0089011,0.0089011
35,829.758,1.2897,1.87437,1.14305,0.71026,0.67044,0.69107,0.37242,1.71221,2.39329,1.34889,0.0088678,0.0088678,0.0088678
36,853.371,1.29384,1.89358,1.14329,0.74203,0.67366,0.72833,0.40035,1.63842,2.25027,1.29708,0.0088345,0.0088345,0.0088345
37,876.968,1.25844,1.80288,1.12524,0.79696,0.67427,0.72841,0.402,1.67071,2.29651,1.31987,0.0088012,0.0088012,0.0088012
38,900.623,1.26123,1.83317,1.13533,0.73652,0.66794,0.70866,0.36961,1.69654,2.29026,1.32174,0.0087679,0.0087679,0.0087679
39,924.237,1.2549,1.77907,1.1201,0.74804,0.65059,0.71165,0.38712,1.66633,2.32086,1.3201,0.0087346,0.0087346,0.0087346
40,947.843,1.26067,1.79885,1.12414,0.77558,0.65768,0.71946,0.38364,1.69592,2.26396,1.32435,0.0087013,0.0087013,0.0087013
41,971.499,1.26046,1.78798,1.12669,0.79234,0.64114,0.72528,0.40689,1.62294,2.22974,1.30387,0.008668,0.008668,0.008668
42,995.115,1.24993,1.7705,1.12215,0.73719,0.69397,0.72163,0.40403,1.62607,2.25233,1.29972,0.0086347,0.0086347,0.0086347
43,1018.8,1.24731,1.76388,1.11569,0.7686,0.66665,0.73583,0.40204,1.64671,2.18707,1.29886,0.0086014,0.0086014,0.0086014
44,1042.47,1.2506,1.7641,1.11989,0.793,0.66582,0.7092,0.38667,1.6208,2.27951,1.31,0.0085681,0.0085681,0.0085681
45,1066.08,1.25368,1.77029,1.12581,0.74592,0.66968,0.72099,0.40082,1.64215,2.33064,1.30234,0.0085348,0.0085348,0.0085348
46,1089.71,1.22324,1.71632,1.1108,0.82287,0.64688,0.72484,0.39107,1.65824,2.28048,1.3119,0.0085015,0.0085015,0.0085015
47,1113.34,1.25916,1.72898,1.12406,0.78161,0.66402,0.70254,0.38975,1.66541,2.25086,1.30847,0.0084682,0.0084682,0.0084682
48,1137.32,1.21792,1.68813,1.10356,0.79019,0.68019,0.72631,0.40272,1.63436,2.2009,1.29816,0.0084349,0.0084349,0.0084349
49,1161.03,1.24128,1.73745,1.11499,0.76944,0.70321,0.72975,0.41781,1.58911,2.18377,1.29163,0.0084016,0.0084016,0.0084016
50,1185.08,1.22494,1.70458,1.10954,0.82152,0.66946,0.73975,0.41318,1.62594,2.27711,1.29075,0.0083683,0.0083683,0.0083683
51,1208.98,1.23628,1.72341,1.115,0.75847,0.65631,0.71156,0.39876,1.62274,2.16544,1.28492,0.008335,0.008335,0.008335
52,1232.53,1.23171,1.66686,1.11113,0.76488,0.6828,0.73254,0.40256,1.62661,2.19991,1.30362,0.0083017,0.0083017,0.0083017
53,1256.17,1.21996,1.65157,1.10496,0.72487,0.64796,0.69052,0.37834,1.64445,2.47622,1.31276,0.0082684,0.0082684,0.0082684
54,1279.8,1.22634,1.70053,1.11288,0.78165,0.66117,0.72744,0.39937,1.65608,2.23719,1.31877,0.0082351,0.0082351,0.0082351
55,1303.39,1.20782,1.6603,1.10007,0.7406,0.69026,0.72812,0.4075,1.6337,2.18031,1.31731,0.0082018,0.0082018,0.0082018
56,1327.31,1.22399,1.69959,1.11072,0.75993,0.67413,0.71496,0.39894,1.62238,2.20414,1.29141,0.0081685,0.0081685,0.0081685
57,1350.94,1.19514,1.63689,1.09237,0.77018,0.67095,0.72985,0.39826,1.62566,2.13634,1.29132,0.0081352,0.0081352,0.0081352
58,1374.89,1.19567,1.62439,1.0921,0.82104,0.6585,0.72786,0.39438,1.64766,2.22673,1.29309,0.0081019,0.0081019,0.0081019
59,1398.48,1.20444,1.63632,1.10001,0.75106,0.69357,0.72576,0.40084,1.65612,2.13521,1.31465,0.0080686,0.0080686,0.0080686
60,1422.11,1.19592,1.62751,1.0936,0.77507,0.66794,0.71782,0.40909,1.59898,2.23323,1.28204,0.0080353,0.0080353,0.0080353
61,1446.02,1.18434,1.60794,1.09081,0.79556,0.63853,0.72006,0.39636,1.67699,2.32613,1.3323,0.008002,0.008002,0.008002
62,1469.68,1.19672,1.64202,1.09566,0.78648,0.66763,0.71819,0.41036,1.61203,2.24522,1.28869,0.0079687,0.0079687,0.0079687
63,1493.67,1.19285,1.60804,1.08832,0.80335,0.66896,0.73606,0.41794,1.62704,2.16149,1.29576,0.0079354,0.0079354,0.0079354
64,1517.44,1.17119,1.59703,1.08745,0.7798,0.67161,0.71594,0.40188,1.60427,2.12962,1.28545,0.0079021,0.0079021,0.0079021
65,1541.08,1.18951,1.61803,1.08886,0.75882,0.68036,0.72273,0.39948,1.65842,2.14792,1.3051,0.0078688,0.0078688,0.0078688
66,1564.78,1.1855,1.60027,1.0879,0.77946,0.68386,0.72924,0.41959,1.60946,2.10223,1.28341,0.0078355,0.0078355,0.0078355
67,1588.51,1.17762,1.60491,1.09069,0.75813,0.66026,0.69797,0.39818,1.62669,2.19334,1.29041,0.0078022,0.0078022,0.0078022
68,1612.39,1.16048,1.56838,1.07654,0.78499,0.65158,0.73162,0.40968,1.6436,2.27825,1.3014,0.0077689,0.0077689,0.0077689
69,1636.1,1.17293,1.58515,1.08348,0.78365,0.66172,0.73313,0.41025,1.62553,2.22448,1.28928,0.0077356,0.0077356,0.0077356
70,1659.75,1.16622,1.56193,1.08308,0.75135,0.69297,0.73234,0.41675,1.60874,2.07632,1.28921,0.0077023,0.0077023,0.0077023
71,1683.39,1.16283,1.55665,1.07936,0.76634,0.65273,0.72591,0.41011,1.61288,2.19286,1.29364,0.007669,0.007669,0.007669
72,1707.05,1.14751,1.54195,1.07314,0.79777,0.65775,0.72988,0.41869,1.64364,2.13624,1.29314,0.0076357,0.0076357,0.0076357
73,1730.71,1.14746,1.51985,1.07175,0.76334,0.69364,0.71417,0.39898,1.63903,2.18612,1.29325,0.0076024,0.0076024,0.0076024
74,1754.52,1.16595,1.54031,1.07656,0.80152,0.65366,0.73896,0.42058,1.61739,2.10287,1.28635,0.0075691,0.0075691,0.0075691
75,1778.12,1.14547,1.53152,1.06997,0.78015,0.67223,0.73247,0.41093,1.65258,2.1976,1.30596,0.0075358,0.0075358,0.0075358
76,1802.05,1.1428,1.52386,1.0727,0.75326,0.71298,0.73636,0.40333,1.66353,2.16356,1.31371,0.0075025,0.0075025,0.0075025
77,1825.65,1.13745,1.49762,1.068,0.81954,0.63896,0.72482,0.4134,1.64929,2.17649,1.29655,0.0074692,0.0074692,0.0074692
78,1849.32,1.15148,1.53979,1.07429,0.76488,0.69038,0.73457,0.41097,1.63946,2.13208,1.29319,0.0074359,0.0074359,0.0074359
79,1873.42,1.13722,1.50857,1.06883,0.80005,0.65355,0.72338,0.41719,1.58668,2.14191,1.27128,0.0074026,0.0074026,0.0074026
80,1897.08,1.13545,1.4909,1.0631,0.74831,0.68858,0.72112,0.41787,1.61028,2.12858,1.283,0.0073693,0.0073693,0.0073693
81,1920.97,1.13757,1.50237,1.06428,0.80968,0.66652,0.73864,0.41521,1.61119,2.08001,1.2921,0.007336,0.007336,0.007336
82,1944.62,1.13174,1.49577,1.06583,0.79486,0.6728,0.73244,0.4032,1.64542,2.12127,1.30057,0.0073027,0.0073027,0.0073027
83,1968.24,1.13693,1.50003,1.06567,0.79188,0.65497,0.71913,0.41168,1.61146,2.15758,1.28198,0.0072694,0.0072694,0.0072694
84,1991.94,1.12924,1.4896,1.06146,0.82575,0.63079,0.72774,0.4084,1.61972,2.13815,1.29513,0.0072361,0.0072361,0.0072361
85,2015.6,1.11919,1.48814,1.06083,0.79754,0.68291,0.74256,0.41737,1.5985,2.02781,1.2899,0.0072028,0.0072028,0.0072028
86,2039.23,1.11199,1.45988,1.05735,0.78498,0.65358,0.71903,0.40786,1.60648,2.14463,1.29312,0.0071695,0.0071695,0.0071695
87,2062.83,1.08649,1.42523,1.0484,0.76942,0.65348,0.70854,0.4046,1.5939,2.16864,1.27829,0.0071362,0.0071362,0.0071362
88,2086.37,1.09704,1.44564,1.05385,0.7854,0.65571,0.71461,0.40071,1.64029,2.22907,1.29563,0.0071029,0.0071029,0.0071029
89,2110.29,1.11014,1.45651,1.05707,0.80344,0.65143,0.72909,0.42778,1.58372,2.12885,1.2632,0.0070696,0.0070696,0.0070696
90,2134.02,1.09365,1.44266,1.05018,0.79,0.65436,0.73615,0.42197,1.59235,2.12013,1.28037,0.0070363,0.0070363,0.0070363
